City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Max Temp,Wind Speed,lng
422,omboue,92,GA,1542433727,100,-1.57,78.52,7.4,9.26
423,harnai,20,PK,1542433727,50,30.1,68.03,3.71,67.94
424,shillong,20,IN,1542430800,94,25.58,75.2,6.06,91.88
425,laguna de perlas,88,NI,1542433728,100,12.34,80.99,18.59,-83.67
426,aksay,92,RU,1542433728,96,47.27,32.35,13.0,39.86
427,verkhnyaya inta,92,RU,1542433728,97,65.99,34.1,5.17,60.32
428,sun valley,75,US,1542430260,59,43.7,37.4,9.17,-114.35
429,gbadolite,64,CD,1542433729,99,4.28,71.54,3.71,21.0
430,acajutla,36,SV,1542433729,54,13.59,81.17,9.98,-89.83
431,mikuni,20,JP,1542430800,62,36.22,59.0,13.87,136.15
432,curaca,0,BR,1542433730,65,-8.99,77.48,14.67,-39.91
433,buta,76,CD,1542433730,89,2.79,74.83,2.93,24.73
434,victor harbor,0,AU,1542430800,19,-35.55,75.2,12.75,138.62
435,vikhorevka,40,RU,1542430800,58,56.12,-4.01,11.18,101.17
436,cavalcante,80,BR,1542433732,99,-13.79,67.22,2.59,-47.46
437,ambon,90,FR,1542432600,100,47.55,46.4,13.87,-2.56
438,itaituba,0,BR,1542433733,84,-4.26,78.74,3.71,-55.99
439,dabola,24,GN,1542433733,95,10.74,64.03,2.71,-11.11
440,chiscani,92,RO,1542430800,99,45.18,32.0,13.87,27.93
441,tommot,80,RU,1542433734,73,58.97,-3.97,2.93,126.27
442,chulym,76,RU,1542433734,91,55.09,11.06,8.52,80.97
443,oro valley,1,US,1542430680,34,32.39,51.98,8.05,-110.97
444,zhigansk,0,RU,1542433735,52,66.77,-17.83,3.38,123.37
445,shimoda,40,JP,1542430800,48,34.7,66.2,12.75,138.93
446,paso de los toros,0,UY,1542433735,72,-32.81,62.09,19.04,-56.52
447,rostovka,75,RU,1542430800,100,55.02,21.2,8.95,73.58
448,cedral,36,MX,1542433736,77,23.82,34.28,3.38,-100.72
449,jalu,0,LY,1542433736,74,29.03,51.25,6.96,21.55
450,iraquara,36,BR,1542433736,75,-12.24,69.74,8.63,-41.62
451,batemans bay,92,AU,1542433618,100,-35.71,57.59,5.95,150.18
452,juneau,90,US,1542430560,100,58.3,37.04,3.6,-134.42
453,alexandria,1,US,1542430500,88,31.31,44.06,3.71,-92.44
454,alofi,80,NU,1542430800,78,-19.06,78.8,6.93,-169.92
455,katherine,20,AU,1542430800,32,-14.47,95.0,5.82,132.26
456,valley,0,GB,1542430200,93,53.28,48.2,9.17,-4.56
457,lamu,80,ID,1542433738,97,0.57,79.28,2.71,122.3
458,saskylakh,68,RU,1542433738,58,71.97,-20.08,6.4,114.09
459,qitaihe,0,CN,1542433739,69,45.77,27.53,6.29,131.01
460,paamiut,92,GL,1542433739,100,61.99,33.74,38.83,-49.67
461,mabaruma,100,GY,1542433739,98,8.2,77.84,5.73,-59.78
462,wadi maliz,40,TN,1542430800,93,36.47,51.8,1.7,8.55
463,pitimbu,48,BR,1542433740,96,-7.47,78.52,8.52,-34.81
464,opuwo,0,NA,1542433740,15,-18.06,76.13,8.52,13.84
465,grand-lahou,12,CI,1542433742,91,5.24,76.85,4.83,-5.0
466,aitape,48,PG,1542433743,100,-3.15,80.5,3.71,142.36
467,wakkanai,75,JP,1542430800,59,45.41,33.8,24.16,141.67
468,corinto,92,BR,1542433744,96,-18.36,68.48,4.05,-44.46
469,hassan,0,IN,1542433744,62,13.01,79.6,9.64,76.1
470,crestline,75,US,1542431760,100,40.79,37.04,9.19,-82.74
471,taoudenni,0,ML,1542433745,65,22.68,52.01,5.39,-3.98
472,gewane,100,ET,1542433745,70,10.16,74.42,3.38,40.66
473,vejprty,0,CZ,1542430800,92,50.49,28.4,5.82,13.03
474,mananjary,0,MG,1542433746,66,-19.16,73.03,5.17,46.8
475,chicama,40,PE,1542430800,82,-7.84,66.2,10.29,-79.15
476,goderich,92,CA,1542433747,91,43.74,38.24,16.24,-81.71
477,dillon,90,US,1542430380,80,45.22,17.96,16.11,-112.64
478,brae,0,GB,1542432000,87,60.4,50.0,6.93,-1.35
479,tabou,92,CI,1542433748,100,4.42,79.37,4.61,-7.36
480,zakharovo,44,RU,1542433748,60,54.37,10.97,3.71,39.28
481,yagodnoye,44,RU,1542433749,89,62.52,-8.79,1.92,149.63
482,adrasmon,20,TJ,1542430800,60,40.65,42.8,17.9,69.99
483,siddipet,12,IN,1542433749,62,18.1,85.63,7.63,78.85
484,avera,1,US,1542433260,96,33.19,48.02,5.28,-82.53
485,alekseyevsk,44,RU,1542433750,36,57.84,3.23,5.5,108.35
486,port-cartier,90,CA,1542431340,85,50.03,23.0,8.05,-66.88
487,coquimbo,0,CL,1542430800,93,-29.95,55.4,5.82,-71.34
488,santa barbara,1,US,1542433140,76,34.42,57.92,5.17,-119.7
489,xiuyan,44,CN,1542433751,38,40.29,43.87,6.06,123.27
490,agadez,0,NE,1542430800,39,16.97,64.4,6.93,7.99
491,oistins,40,BB,1542430800,83,13.07,80.6,18.34,-59.53
492,kitgum,32,UG,1542433752,97,3.3,67.94,3.27,32.88
493,karratha,8,AU,1542433753,11,-20.74,110.02,6.73,116.85
494,pitiquito,0,MX,1542433753,75,30.68,42.7,1.92,-112.05
495,jijiga,8,ET,1542433753,48,9.35,69.65,2.59,42.8
496,kruisfontein,64,ZA,1542433753,82,-34.0,63.58,19.48,24.73
497,kurush,8,RU,1542433754,89,41.28,35.68,1.92,47.83
498,bansi,0,IN,1542433754,60,27.18,75.28,7.63,82.93
499,pombia,75,IT,1542432000,70,45.65,46.4,2.24,8.63
500,saint anthony,90,US,1542432840,92,43.97,33.08,6.93,-111.68
501,totskoye,0,RU,1542433755,78,52.53,13.13,4.61,52.75
502,half moon bay,90,US,1542432900,57,37.46,53.96,3.04,-122.43
503,baykit,56,RU,1542433756,78,61.68,-4.83,3.94,96.39
504,alice springs,90,AU,1542430800,24,-23.7,80.6,12.75,133.88
505,cordoba,56,CO,1542433756,100,5.59,51.83,2.15,-73.79
506,tefe,12,BR,1542433757,96,-3.35,77.53,2.59,-64.71
507,saint-pierre,0,FR,1542432600,80,48.95,32.0,8.05,4.24
508,port blair,44,IN,1542433758,94,11.67,85.85,11.32,92.75
509,paragominas,0,BR,1542433758,95,-3.0,73.57,3.94,-47.35
510,faya,40,SA,1542430800,58,18.39,62.6,3.38,42.45
511,kavaratti,88,IN,1542433759,100,10.57,80.81,13.78,72.64
512,antofagasta,40,CL,1542430800,82,-23.65,59.0,1.12,-70.4
513,marrakesh,40,MA,1542430800,87,31.63,53.6,3.36,-7.99
514,manta,80,RO,1542433760,95,45.1,27.85,2.37,24.1
515,yarmouth,0,GB,1542430200,100,50.71,46.4,11.41,-1.5
516,luanda,75,AO,1542430800,88,-8.83,77.0,2.15,13.24
